Device Name,Device Type,File Name,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.6,13.501851724856111,0.2714948,0.3215941960074839,254.0,0.0,148.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.4,11.282730166054668,0.1166856,0.1610978286641381,254.0,0.0,98.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.8,12.557866060760484,0.0727572,0.1546512919237986,123.0,0.0,72.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.0730892,0.1544627360812309,124.0,0.0,73.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0043308,0.0020940691726874,124.0,2.0,74.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.8,9.148770409186143,0.0049518,0.001576936492063,124.0,2.0,51.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.2,10.52140675005011,0.0041302,0.001080768569121,127.0,3.0,76.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.2,10.52140675005011,0.0040628,0.0011436414210756,128.0,3.0,77.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.2,13.367871932360812,0.0479298,0.0977979831934176,128.0,3.0,53.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.6,12.973048986263793,0.3325418,0.6200447679181722,128.0,4.0,54.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.3320758,0.6203533025500065,128.0,7.0,55.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.3319495999999999,0.6204370091574971,145.0,7.0,59.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.8,13.367871932360812,0.4164906,0.59259967764782,145.0,7.0,36.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.4,10.922453936730518,0.3722839999999999,0.618339970395332,149.0,8.0,64.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.4,11.282730166054668,0.0870167999999999,0.1893874894276282,149.0,8.0,65.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.8,12.557866060760484,0.0869887999999999,0.1894030923129292,152.0,12.0,94.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.0872561999999999,0.1892548725705629,153.0,12.0,96.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0023572,0.0009465007659796,153.0,14.0,96.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0025678,0.0009171192397938,157.0,14.0,98.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,12.911235417263525,0.06218,0.1331558973121356,157.0,15.0,99.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.8,11.099549540409289,0.1256073999999999,0.1684709435816752,157.0,15.0,72.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.0,11.74734012447073,0.1253435999999999,0.168710152869648,172.0,15.0,76.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.8,12.357184145265458,0.1259552,0.1681527148805513,172.0,19.0,77.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.6,13.371611720357423,0.1650097999999999,0.1545493476052228,172.0,19.0,51.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.2,11.322543883774529,0.1070468,0.1451523151768513,179.0,20.0,83.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,11.64903429473877,0.044552,0.0859219612322716,179.0,21.0,84.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.4,11.193748255164577,0.0468016,0.0846845703702864,179.0,21.0,56.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.2,8.757853618324527,0.0462572,0.0850336002248523,183.0,25.0,88.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.6,6.18869937870632,0.0080178,0.0045258259135764,183.0,27.0,89.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,62.4,4.9295030175464944,0.006618,0.0046257831228884,183.0,27.0,59.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.8,9.148770409186143,0.0063308,0.0046279866788918,186.0,28.0,91.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.0,11.445523142259598,0.046893,0.094877004418879,186.0,29.0,92.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.8,11.606032913963324,0.139822,0.2041280979434237,186.0,29.0,63.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.6,12.973048986263793,0.1388604,0.2049202322534307,196.0,29.0,96.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.2,14.788509052639483,0.1581324,0.1932108529425818,196.0,35.0,98.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.6,13.501851724856111,0.1576132,0.1937255854274287,207.0,35.0,102.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.4,11.282730166054668,0.1157416,0.2003089978503212,207.0,36.0,104.2
